2025-12-14 13:47:19,580 [INFO] SIMULATION | User: terrelnuentsa | Montant: 50000€ | Durée: 10 ans | Revenus: 4000€ | Apport: 4000€ | Dettes: 2€ | Score: 76 | Décision IA: ACCEPTEE
2026-02-11 22:07:54,069 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:07:54,437 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 500€ | Dettes: 0€ | Score: 84 | Décision IA: ACCEPTEE
2026-02-11 22:08:44,730 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:08:45,117 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:08:45,476 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:08:45,838 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 500€ | Dettes: 0€ | Score: 84 | Décision IA: ACCEPTEE
2026-02-11 22:08:46,187 [INFO] SIMULATION | User: charlie | Montant: 100000€ | Durée: 10 ans | Revenus: 1500€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:08:46,537 [INFO] SIMULATION | User: charlie | Montant: 2000€ | Durée: 1 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:15,583 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:15,980 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:09:16,343 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:16,699 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 500€ | Dettes: 0€ | Score: 84 | Décision IA: ACCEPTEE
2026-02-11 22:09:17,050 [INFO] SIMULATION | User: charlie | Montant: 50000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:17,402 [INFO] SIMULATION | User: charlie | Montant: 2000€ | Durée: 1 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:44,542 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:44,950 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:09:45,312 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:45,681 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 500€ | Dettes: 0€ | Score: 84 | Décision IA: ACCEPTEE
2026-02-11 22:09:46,072 [INFO] SIMULATION | User: charlie | Montant: 50000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:09:46,731 [INFO] SIMULATION | User: charlie | Montant: 2000€ | Durée: 1 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 23:00:20,803 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 500€ | Dettes: 0€ | Score: 64 | Décision IA: ACCEPTEE
2026-02-11 23:00:21,186 [INFO] SIMULATION | User: charlie | Montant: 50000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 23:00:21,527 [INFO] SIMULATION | User: charlie | Montant: 2000€ | Durée: 1 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 23:04:31,221 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 23:04:31,641 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 69 | Décision IA: ACCEPTEE
2026-02-11 23:04:32,017 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 23:04:32,394 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 500€ | Dettes: 0€ | Score: 64 | Décision IA: ACCEPTEE
2026-02-11 23:04:32,760 [INFO] SIMULATION | User: charlie | Montant: 50000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 23:04:33,123 [INFO] SIMULATION | User: charlie | Montant: 2000€ | Durée: 1 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 0€ | Score: 0 | Décision IA: REFUSEE
